,0,1,2
0,strenuous,"{'Adjective': ['characterized by or performed with much energy or force', 'taxing to the utmost; testing powers of endurance']}",['energetic']
1,zeal,"{'Noun': ['a feeling of strong eagerness (usually in favor of a person or cause', 'excessive fervor to do something or accomplish some end', 'prompt willingness']}","['fervor', 'fervency', 'fervour', 'fervidness', 'fire', 'ardour', 'ardor']"
2,surmount,"{'Verb': ['get on top of; deal with successfully', 'be on top of', 'reach the highest point of', 'be or do something to a greater degree']}","['vanquish', 'get over', 'bulldog', 'trounce', 'crush', 'master', 'beat out', 'overcome', 'shell', 'beat', 'subdue']"
3,froward,{'Adjective': ['habitually disposed to disobedience and opposition']},"['willful', 'wilful', 'self-willed', 'disobedient', 'headstrong']"
4,baying,"{'Verb': ['utter in deep prolonged tones', 'bark with prolonged noises, of dogs']}","['body of water', 'bight', 'embayment', 'Guantanamo Bay', 'sea', 'water']"
5,diaphanous,{'Adjective': ['so thin as to transmit light']},"['vaporous', 'transparent', 'filmy', 'thin', 'gossamer', 'see-through', 'sheer', 'vapourous', 'gauze-like', 'gauzy', 'cobwebby']"
6,junta,{'Noun': ['a group of military officers who rule a country after seizing power']},"['camp', 'military junta', 'ingroup', 'coterie', 'pack', 'inner circle', 'clique']"
7,kowtow,"{'Noun': ['a former Chinese custom of touching the ground with the forehead as a sign of respect or submission'], 'Verb': ['bend the knees and bow in a servile manner', 'try to gain favor by cringing or flattering']}","['obeisance', 'bow', 'bowing', 'kotow']"
8,trifling,"{'Noun': ['the deliberate act of delaying and playing instead of working'], 'Verb': [""waste time; spend one's time idly or inefficiently"", 'act frivolously', 'consider not very seriously'], 'Adjective': ['not worth considering']}","['dalliance', 'holdup', 'delay', 'dawdling']"
9,stringent,{'Adjective': ['demanding strict attention to rules and procedures']},"['rigorous', 'demanding', 'tight']"
10,frieze,"{'Noun': ['an architectural ornament consisting of a horizontal sculptured band between the architrave and the cornice', 'a heavy woolen fabric with a long nap']}","['architectural ornament', 'entablature']"
11,maudlin,{'Adjective': ['effusively or insincerely emotional']},"['kitschy', 'sentimental', 'bathetic', 'emotional', 'hokey', 'soupy', 'mawkish', 'drippy', 'slushy', 'mushy', 'schmalzy', 'schmaltzy', 'soppy']"
12,novel,"{'Noun': ['an extended fictional work in prose; usually in the form of a story', 'a printed and bound book that is an extended work of fiction'], 'Adjective': ['original and of a kind not seen before', 'pleasantly new or different']}","['mystery novel', 'detective novel', 'romance', 'roman fleuve', 'fiction', 'novelette', 'roman a clef', 'dime novel', 'novella', 'penny dreadful']"
13,foreshadow,"{'Verb': ['indicate, as with a sign or an omen']}","['prognosticate', 'forecast', 'threaten', 'point', 'predict', 'betoken', 'signal', 'omen', 'auspicate', 'bespeak', 'prefigure', 'foretell', 'presage', 'foreshow', 'augur', 'portend', 'bode', 'indicate']"
14,churlish,"{'Adjective': ['rude and boorish', 'having a bad disposition; surly']}",['ungracious']
15,fruitful,{'Adjective': ['productive or conducive to producing in abundance']},"['oval-fruited', 'breeding', 'berried', 'productive', 'baccate', 'red-fruited', 'prolific', 'bacciferous', 'procreative', 'plentiful', 'fertile', 'small-fruited', 'dark-fruited', 'rich', 'fat', 'blue-fruited', 'reproductive', 'high-yield', 'bountiful', 'generative', 'round-fruited']"
16,begrudge,"{'Verb': [""be envious of; set one's heart on"", 'wish ill or allow unwillingly']}",['resent']
17,convalescent,"{'Noun': ['a person who is recovering from illness'], 'Adjective': ['returning to health after illness or debility']}","['recovering', 'sick', 'ill']"
18,synchronous,"{'Adjective': ['occurring or existing at the same time or having the same period or phase', '(digital communication', 'a timing reference']}","['synchronised', 'synchronal', 'parallel', 'coincident', 'coeval', 'contemporaneous', 'co-occurrent', 'coinciding', 'synchronic', 'coexistent', 'cooccurring', 'concurrent', 'coincidental', 'coexisting', 'coetaneous', 'synchronized', 'contemporary', 'simultaneous']"
19,recreant,"{'Noun': ['an abject coward', 'a disloyal person who betrays or deserts his cause or religion or political party or friend etc.'], 'Adjective': ['having deserted a cause or principle', 'lacking even the rudiments of courage; abjectly fearful']}","['fearful', 'craven', 'cowardly']"
20,moratorium,"{'Noun': ['a legally authorized postponement before some obligation must be discharged', 'suspension of an ongoing activity']}","['suspension', 'abeyance']"
21,proscribe,{'Verb': ['command against']},"['outlaw', 'criminalise', 'illegalise', 'debar', 'criminalize', 'nix', 'forbid', 'enjoin', 'exclude', 'interdict', 'illegalize', 'veto', 'command', 'disallow', 'prohibit', 'bar', 'require', 'ban']"
22,stigmas,"{'Noun': ['the apical end of the style where deposited pollen enters the pistil', 'a symbol of disgrace or infamy', 'an external tracheal aperture in a terrestrial arthropod', 'a skin lesion that is a diagnostic sign of some disease']}",['spiracle']
23,acclaim,"{'Noun': ['enthusiastic approval'], 'Verb': ['praise vociferously', ""clap one's hands or shout after performances to indicate approval""]}","['applaud', 'herald', 'hail']"
24,founder,"{'Noun': ['inflammation of the laminated tissue that attaches the hoof to the foot of a horse', 'a person who founds or establishes some institution', 'a worker who makes metal castings'], 'Verb': ['fail utterly; collapse', 'sink below the surface', 'break down, literally or metaphorically', 'stumble and nearly fall']}","['father', 'beginner', 'mastermind', 'originator', 'conceiver', 'coloniser', 'cofounder', 'founding father', 'foundress', 'colonizer']"
25,rotund,"{'Adjective': ['spherical in shape', '(of sounds', 'excessively fat']}","['weighty', 'corpulent', 'fat', 'obese']"
26,haven,"{'Noun': ['a shelter serving as a place of safety or sanctuary', 'a sheltered port where ships can take on or discharge cargo']}","['shelter', 'oasis']"
27,tetchy,{'Adjective': ['easily irritated or annoyed']},"['fractious', 'peevish', 'scratchy', 'ill-natured', 'pettish', 'techy', 'testy', 'peckish', 'petulant', 'irritable', 'nettlesome', 'cranky']"
28,preemptive,{'Adjective': ['designed or having the power to deter or prevent an anticipated situation or occurrence']},"['preventive', 'preventative', 'pre-emptive']"
29,muted,"{'Verb': ['deaden (a sound or noise'], 'Adjective': ['in a softened tone', 'being or made softer or less loud or clear']}","['quiet', 'subdued', 'soft', 'hushed']"
30,disputatious,"{'Adjective': ['inclined or showing an inclination to dispute or disagree, even to engage in law suits']}","['combative', 'argumentative', 'litigious', 'contentious', 'disputative']"
31,metaphorical,{'Adjective': ['expressing one thing in terms normally denoting another']},"['figurative', 'nonliteral', 'metaphoric']"
32,gild,"{'Noun': ['a formal association of people with similar interests'], 'Verb': ['decorate with, or as if with, gold leaf or liquid gold']}","['adorn', 'engild', 'decorate', 'embellish', 'ornament', 'grace', 'begild', 'beautify']"
33,rebut,"{'Verb': ['overthrow by argument, evidence, or proof', 'prove to be false or incorrect']}","['answer', 'oppose', 'controvert', 'repudiate', 'renounce', 'contradict', 'disown', 'refute']"
34,scrupulous,"{'Adjective': ['having scruples; arising from a sense of right and wrong; principled', 'characterized by extreme care and great effort']}","['conscientious', 'painstaking', 'careful']"
35,mimetic,"{'Adjective': ['characterized by or of the nature of or using mimesis', 'exhibiting mimicry']}",['representational']
36,hardy,"{'Noun': ['United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957', 'English novelist and poet (1840-1928'], 'Adjective': ['having rugged physical strength; inured to fatigue or hardships', 'able to survive under unfavorable weather conditions', 'invulnerable to fear or intimidation']}","['robust', 'sturdy', 'stout', 'stalwart']"
37,introspection,{'Noun': ['the contemplation of your own thoughts and desires and conduct']},"['rumination', 'thoughtfulness', 'musing', 'examen', 'soul-searching', 'contemplation', 'self-analysis', 'reflection', 'reflexion', 'examination', 'self-contemplation', 'self-examination']"
38,encumber,{'Verb': ['restrict (someone or something']},"['restrain', 'cumber', 'constrain', 'trammel', 'restrict', 'bound', 'throttle', 'limit', 'confine', 'clog', 'bridle', 'curb']"
39,homiletics,"{'Noun': ['the branch of theology that deals with sermons and homilies', 'the art of preaching']}","['theology', 'divinity']"
40,servile,"{'Adjective': ['submissive or fawning in attitude or behavior', 'relating to or involving slaves or appropriate for slaves or servants']}","['obsequious', 'toadyish', 'bootlicking', 'slavelike', 'subservient', 'submissive', 'fawning', 'slavish', 'sycophantic']"
41,eradicate,"{'Verb': ['kill in large numbers', 'destroy completely, as if down to the roots']}","['annihilate', 'decimate', 'extinguish', 'eliminate', 'wipe out', 'kill', 'carry off']"
42,libertine,"{'Noun': ['a dissolute person; usually a man who is morally unrestrained'], 'Adjective': ['unrestrained by convention or morality']}","['philanderer', 'ravisher', 'rakehell', 'tramp', 'debaucher', ""ladies' man"", 'seducer', 'rake', 'rip', 'fornicator', 'lady killer', 'swinger', 'debauchee', 'roue', 'bad person', 'womanizer', 'profligate', 'womaniser', 'rounder', 'adulterer', 'gigolo', 'blood', 'violator']"
43,tarnish,"{'Noun': ['discoloration of metal surface caused by oxidation'], 'Verb': ['make dirty or spotty, as by exposure to air; also used metaphorically']}","['stain', 'fleck', 'defile', 'blob', 'maculate', 'darken', 'blot', 'spot', 'sully']"
44,culpability,{'Noun': ['a state of guilt']},"['guiltiness', 'guilt', 'culpableness', 'blameworthiness']"
45,enamor,{'Verb': ['attract; cause to be enamored']},"['charm', 'fascinate', 'appeal', 'beguile', 'work', 'catch', 'becharm', 'captivate', 'enamour', 'entrance', 'capture', 'enchant', 'attract', 'bewitch', 'trance', 'hold']"
46,gumption,"{'Noun': ['sound practical judgment', 'fortitude and determination']}","['backbone', 'fortitude', 'grit', 'guts', 'sand', 'moxie']"
47,ambivalence,{'Noun': ['mixed feelings or emotions']},"['conflict', 'feeling', 'ambivalency']"
48,fledgling,"{'Noun': ['any new participant in some activity', 'young bird that has just fledged or become capable of flying'], 'Adjective': ['(of a young bird', 'young and inexperienced']}","['callow', 'inexperient', 'unfledged', 'inexperienced']"
49,sagacious,"{'Adjective': ['acutely insightful and wise', 'skillful in statecraft or management']}","['sapient', 'perspicacious', 'wise']"
50,xenophobia,{'Noun': ['a fear of foreigners or strangers']},['social phobia']
