,Gregmat,Magoosh,Manhattan,Prep Scholar,Powerscore,Vince Kotchian / Brian McElroy,Greenlight Basic,Greenlight Advanced,,Work,Meaning,,,,,,,,,,,,,
1,abate,aberrant,abase,abate,abdicate,abase,abash,abjure,,berate ,scold or critisize angrily,,,,,,,,,,,,,
2,abet,aberration,abate,aberrant,aberrant,abashed,abate,abrogate,,whit,small part or amount,,,,,,,,,,,,,
3,abhor,abjure,abdicate,abjure,abeyance,abate,aberrant,abscission,,aplomb ,self confidence or assurance,,,,,,,,,,,,,
4,abjure,aboveboard,aberrant,abscond,abjure,aberration,abject,acarpous,,prevarication,lying,,,,,,,,,,,,,
5,abound,abrogate,abeyance,abstain,abstemious,abeyance,abrasive,accession,,rambling,length or confused,,,,,,,,,,,,,
6,abreast,abstain,abhor,acumen,abstruse,abhors,abscond,accolade,,labyrinthine,irregular  or twisting,,,,,,,,,,,,,
7,abstain,abstruse,abjure,admonish,accretion,abject,abstain,accretion,,terse ,straight to point,,,,,,,,,,,,,
8,accentuate,abysmal,abrasive,adulterate,acerbic,abnegate,abysmal,acerbic,,aphorsim,"short sayings,general truth",,,,,,,,,,,,,
9,accessible,accolade,abreast,advocate,acidulous,abomination,acquiesce,acumen,,ignominy,"embaressment , shame",,,,,,,,,,,,,
10,acclaim,acerbic,abridge,aesthetic,acme,aboriginal,acrid,adroit,,bleak,"bare , exposed, harsh",,,,,,,,,,,,,
11,acolyte,acme,abscission,affectation,acumen,abort,adherent,adulation,,garbled,"distorted , unclear",,,,,,,,,,,,,
12,acquiesce,acrimony,abscond,aggrandize,adroit,abound,admonish,adumbrate,,insinuate,egressivly assume something,,,,,,,,,,,,,
13,acquisitive,adamant,abstain,alacrity,aerie,abrasive,adulterate,advent,,ephemeral,short lived,,,,,,,,,,,,,
14,acrimonious,adjudicate,abyss,alleviate,aesthetic,abridge,adversity,affective,,,,,,,,,,,,,,,,
15,acumen,admonish,accede,amalgamate,affable,abrogate,advocate,agape,,,,,,,,,,,,,,,,
16,admonish,admonitory,accretion,ambiguous,affected,abscission,aesthetic,agglutination,,,,,,,,,,,,,,,,
17,adroit,advocate,acerbic,ambivalent,aggrandize,absolute,affable,aggrandize,,,,,,,,,,,,,,,,
18,adulterate,aesthete,acidulous,ameliorate,alacrity,absolve,affectation,alacrity,,,,,,,,,,,,,,,,
19,advocate,aesthetic,acme,amenable,alchemy,abstemious,aggravate,alloy,,,,,,,,,,,,,,,,
20,aesthetic,affable,activism,anachronism,amalgamation,abstruse,aggregate,amity,,,,,,,,,,,,,,,,
21,affectation,affluent,acumen,analogous,ameliorate,abysmal,aghast,anachronistic,,,,,,,,,,,,,,,,
22,affinity,afford,adhere,anoint,amenable,accede,alchemy,anathema,,,,,,,,,,,,,,,,
23,aggrandize,alacrity,admonish,anomaly,amiable,accolade,allege,anodyne,,,,,,,,,,,,,,,,
24,alacrity,altruism,adulterate,antipathy,amortize,accretion,allusion,apex,,,,,,,,,,,,,,,,
25,alienate,amalgam,adumbrate,antithetical,amulet,accumulate,amalgamate,apocryphal,,,,,,,,,,,,,,,,
26,alleviate,ambiguous,adverse,apathy,anachronistic,acerbic,ambience,apogee,,,,,,,,,,,,,,,,
27,allusive,ambivalent,advocate,appease,analgesic,acidulous,ambiguous,apostate,,,,,,,,,,,,,,,,
28,aloof,ameliorate,aerie,arbitrary,anodyne,acme,ameliorate,apotheosis,,,,,,,,,,,,,,,,
29,altruistic,amenable,aesthetic,arcane,anthropocentrism,acquisitive,amenable,apposite,,,,,,,,,,,,,,,,
30,amalgamate,amiable,affable,archaic,antipathy,acrimonious,amiable,approbation,,,,,,,,,,,,,,,,
31,ambivalent,amorphous,affectation,arduous,apathy,acumen,amorous,appropriate,,,,,,,,,,,,,,,,
32,ameliorate,amply,aggrandize,articulate,apocryphal,adamant,amorphous,arabesque,,,,,,,,,,,,,,,,
33,amenable,amuck,aggregate,artless,apostate,adept,amortize,arrant,,,,,,,,,,,,,,,,
34,amend,anachronism,alacrity,ascetic,approbation,adequate,anarchy,artless,,,,,,,,,,,,,,,,
35,amorphous,analogous,albeit,assuage,archaic,adhere,ancillary,ascetic,,,,,,,,,,,,,,,,
36,anachronistic,anathema,alienate,astonishment,ardor,admonished,androgynous,asperity,,,,,,,,,,,,,,,,
37,analogous,anemic,alleviate,audacious,arrogate,adorned,anesthetic,aspersion,,,,,,,,,,,,,,,,
38,animus,animosity,aloof,austere,ascertain,adroit,animosity,assay,,,,,,,,,,,,,,,,
39,anoint,anodyne,amalgamate,avarice,ascetic,adulation,anomalous,asseverate,,,,,,,,,,,,,,,,
40,anomalous,anomalous,ambiguous,aver,assail,adulterate,anomaly,assiduous,,,,,,,,,,,,,,,,
41,antedate,anomaly,ambivalent,banal,assiduous,adversary,antecedent,astringent,,,,,,,,,,,,,,,,
42,antipathy,antedated,ameliorate,belie,assuage,advocate,anthology,attenuate,,,,,,,,,,,,,,,,
43,antithesis,antic,amortize,benign,attenuate,aegis,antipathy,attrition,,,,,,,,,,,,,,,,
44,apathy,antipathy,anachronism,biased,audacious,aesthetic,antithesis,augury,,,,,,,,,,,,,,,,
45,apologist,antiquated,analgesia,bolster,augment,affable,apprise,august,,,,,,,,,,,,,,,,
46,appease,antithetical,analogous,bombastic,augury,affectation,approbation,auspice,,,,,,,,,,,,,,,,
47,approbation,apathetic,anarchy,brazen,august,affiliated,arbitrary,auspicious,,,,,,,,,,,,,,,,
48,apropos,apathy,annul,bucolic,auspicious,affront,arcane,avarice,,,,,,,,,,,,,,,,
49,apt,apex,anodyne,burgeon,austere,aggrandized,archaic,axiomatic,,,,,,,,,,,,,,,,
50,arbitrary,aphorism,anoint,cacophony,autonomy,aghast,archetype,baleful,,,,,,,,,,,,,,,,
51,arcane,aphoristic,anomaly,calumny,avarice,alacrity,ardent,banal,,,,,,,,,,,,,,,,
52,archaic,aplomb,antagonize,candid,avuncular,algorithm,ardor,bane,,,,,,,,,,,,,,,,
53,arduous,apocryphal,antedate,canon,axiom,alleviate,arduous,beatify,,,,,,,,,,,,,,,,
54,arresting,apogee,antithetical,capacity,banal,allusion,arrest,bedizen,,,,,,,,,,,,,,,,
55,artless,apostate,apathy,capricious,belfry,altruistic,articulate,beget,,,,,,,,,,,,,,,,
56,ascertain,apothegm,apocryphal,castigate,benevolent,amalgamate,assimilate,bent,,,,,,,,,,,,,,,,
57,ascetic,apotheosis,apostate,catalyst,bevy,ambiguity,assuage,bilge,,,,,,,,,,,,,,,,
58,ascribe,appease,apostle,caustic,bifurcate,ambivalence,astute,blandish,,,,,,,,,,,,,,,,
59,assail,appreciable,apposite,censure,bilk,ameliorated,audacious,blithe,,,,,,,,,,,,,,,,
60,assertive,apprehension,apprise,chauvinist,blight,amenable,augment,brook,,,,,,,,,,,,,,,,
61,assuage,approbatory,approbation,chicanery,blithe,amicable,austere,byzantine,,,,,,,,,,,,,,,,
62,astringent,appropriate,appropriate,chronological,bombast,amortize,authoritarian,cabal,,,,,,,,,,,,,,,,
63,astute,appurtenant,arbiter,coalesce,bonhomie,ample,aver,cachinnate,,,,,,,,,,,,,,,,
64,attenuate,arbitrary,arcane,cogent,boor,anachronism,aversion,cacophony,,,,,,,,,,,,,,,,
65,audacious,arcane,archaic,commensurate,bromide,analogue,avid,cadge,,,,,,,,,,,,,,,,
66,augment,arch,ardent,compelling,bucolic,anathema,avow,cajole,,,,,,,,,,,,,,,,
67,austere,archaic,arduous,comprehensive,burgeon,anile,bedlam,calumniate,,,,,,,,,,,,,,,,
68,avaricious,arduous,arrogate,condone,burnish,animosity,belabor,calumny,,,,,,,,,,,,,,,,
69,aversion,arrant,articulate,confound,byzantine,annotation,beleaguer,canard,,,,,,,,,,,,,,,,
70,banal,arriviste,artifact,connoisseur,cabal,annul,belie,canon,,,,,,,,,,,,,,,,
71,banish,arrogate,artless,consequential,cacophony,anodyne,bellicose,canonical,,,,,,,,,,,,,,,,
72,baroque,artful,ascertain,construe,cajole,anomaly,belligerent,caparison,,,,,,,,,,,,,,,,
